FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
VJT929,9HVJS,4D211B,GLEX,VJT,TVSC,EIDW,2020-03-14T00:00:00Z,2020-03-14T00:22:28Z,2020-03-14T07:40:48Z
AWC318W,GEUNB,406090,A318,AWC,CYHZ,EGSS,2020-03-14T00:00:00Z,2020-03-14T00:20:00Z,2020-03-14T05:59:46Z
ABD705,TFAMI,4CC3C9,B744,ABD,EDFH,KGSP,2020-03-14T00:00:00Z,2020-03-14T00:09:00Z,2020-03-14T09:41:37Z
BWJ998,VPCRH,4247E9,GLF5,ZZZ,VHHH,EGGW,2020-03-14T00:00:00Z,2020-03-14T00:06:00Z,2020-03-14T13:07:43Z
VPCMC,VPCMC,42474B,GLF4,ZZZ,KTEB,LFMN,2020-03-14T00:00:00Z,2020-03-13T23:57:00Z,2020-03-14T07:14:39Z
UAL999,N12012,A05648,B78X,UAL,KEWR,EBBR,2020-03-14T00:00:00Z,2020-03-14T00:46:00Z,2020-03-14T07:17:53Z
IGO011,VTIUJ,8013AD,A21N,IGO,VIDP,LTFM,2020-03-14T00:00:00Z,2020-03-14T00:08:47Z,2020-03-14T06:51:00Z
DAL1,N837MH,AB7376,B764,DAL,KJFK,EGLL,2020-03-14T00:00:00Z,2020-03-14T00:17:00Z,2020-03-14T07:10:47Z
RJA264,JYBAB,740822,B788,RJA,KORD,OJAI,2020-03-14T00:00:00Z,2020-03-13T23:41:00Z,2020-03-14T10:29:00Z
YUTBA,YUTBA,4C4C20,C56X,ZZZ,LOWW,LYBE,2020-03-14T00:00:00Z,2020-03-13T23:43:00Z,2020-03-14T00:40:16Z
KLM672,PHAOB,484410,A332,KLM,CYUL,EHAM,2020-03-14T00:01:00Z,2020-03-13T23:51:00Z,2020-03-14T06:18:42Z
JDI10A,NA,48D409,GL5T,JDI,KHOU,EPWA,2020-03-14T00:01:00Z,2020-03-14T00:25:20Z,2020-03-14T09:56:48Z
AVA016,N780AV,AA909A,B788,AVA,SKRG,LEMD,2020-03-14T00:03:00Z,2020-03-14T00:53:42Z,2020-03-14T09:32:53Z
UTN5731,URAZF,508421,B738,UTN,UKHH,HESH,2020-03-14T00:05:00Z,2020-03-14T00:03:00Z,2020-03-14T03:49:09Z
MEA209,ODMEE,748051,A332,MEA,OLBA,LFPG,2020-03-14T00:05:00Z,2020-03-14T00:14:34Z,2020-03-14T04:53:46Z
RAM509,CNRGV,02012C,B738,RAM,FKKD,GMMN,2020-03-14T00:05:00Z,2020-03-13T23:47:00Z,2020-03-14T04:50:15Z
BRU8155,EW455PA,51009A,B738,BRU,UMMS,HEGN,2020-03-14T00:05:00Z,2020-03-14T00:00:00Z,2020-03-14T03:51:25Z
KTK8881,VQBSY,NA,B763,KTK,UUWW,LTAI,2020-03-14T00:05:00Z,2020-03-14T00:10:00Z,2020-03-14T03:33:00Z
FIN6,OHLTS,461F0C,A333,FIN,KJFK,EFHK,2020-03-14T00:05:00Z,2020-03-14T00:01:00Z,2020-03-14T07:53:46Z
STP507,CSTSV,495276,B763,ZZZ,LPPT,FPST,2020-03-14T00:05:00Z,2020-03-14T00:24:00Z,2020-03-14T06:02:50Z
NWS353,VPBJL,424383,B77W,NWS,UUEE,MUVR,2020-03-14T00:05:00Z,2020-03-14T00:34:00Z,2020-03-14T12:38:13Z
TVS3B,OKTSU,49D328,B738,TVS,LKPR,HEGN,2020-03-14T00:05:00Z,2020-03-14T00:01:00Z,2020-03-14T03:44:23Z
SXS52E,TCSEJ,4BCCAA,B738,SXS,LTAI,EPGD,2020-03-14T00:05:00Z,2020-03-13T23:56:00Z,2020-03-14T03:20:00Z
CMB162,N715CK,A98EDC,B744,CMB,KWRI,ETAR,2020-03-14T00:05:00Z,2020-03-14T00:02:00Z,2020-03-14T06:59:10Z
UAE41P,A6EOG,8963E4,A388,UAE,KSFO,OMDB,2020-03-14T00:05:00Z,2020-03-14T00:15:00Z,2020-03-14T15:17:15Z
UTN4423,URAZE,50840A,B738,UTN,UKBB,HEGN,2020-03-14T00:05:00Z,2020-03-14T00:01:00Z,2020-03-14T03:36:14Z
CRL919,FHZEN,39E48D,A333,CRL,KMIA,LFPO,2020-03-14T00:05:00Z,2020-03-14T01:31:00Z,2020-03-14T10:11:39Z
UAE230,A6EQA,896450,B77W,UAE,KSEA,OMDB,2020-03-14T00:05:00Z,2020-03-14T00:22:00Z,2020-03-14T14:27:34Z
AUI374,URPSJ,508302,B739,AUI,OMDB,UKBB,2020-03-14T00:05:00Z,2020-03-14T00:18:00Z,2020-03-14T06:55:00Z
TCAAA,TCAAA,NA,CL60,ZZZ,MDLR,LPAZ,2020-03-14T00:05:00Z,2020-03-14T02:10:06Z,2020-03-14T07:45:00Z
QTR708,A7BAI,06A063,B77W,QTR,KIAD,OTHH,2020-03-14T00:05:00Z,2020-03-13T23:57:00Z,2020-03-14T12:05:15Z
CLX8575,LXLCL,4D012E,B744,CLX,UBBB,ELLX,2020-03-14T00:05:00Z,2020-03-13T23:57:00Z,2020-03-14T05:06:34Z
UAL48,N2331U,A21633,B77W,UAL,KEWR,VABB,2020-03-14T00:05:00Z,2020-03-14T00:49:00Z,2020-03-14T14:19:29Z
AZQ4717,4KAZ41,NA,IL76,AZQ,UBBB,OAIX,2020-03-14T00:05:00Z,2020-03-14T00:01:00Z,2020-03-14T02:32:45Z
BAW2152,GYMMD,4007EF,B772,BAW,TBPB,EGKK,2020-03-14T00:05:00Z,2020-03-14T00:14:57Z,2020-03-14T07:42:38Z
THY3AR,TCJRF,NA,A321,THY,UWKD,LTFM,2020-03-14T00:05:00Z,2020-03-14T00:12:00Z,2020-03-14T04:03:00Z
VIR110,GVNYC,40675E,A333,VIR,KATL,EGCC,2020-03-14T00:05:00Z,2020-03-14T00:06:00Z,2020-03-14T07:25:31Z
