FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
AZD094,HBAMB,4B0139,AT43,AZD,ESSA,ESNU,2020-02-19T00:00:00Z,2020-02-18T23:29:42Z,2020-02-19T00:51:50Z
UAL999,N14001,A0A522,B78X,UAL,KEWR,EBBR,2020-02-19T00:00:00Z,2020-02-19T01:42:00Z,2020-02-19T08:10:36Z
DFC1XE,OKKUK,49D313,C510,DFC,LRTR,LKMT,2020-02-19T00:00:00Z,2020-02-18T23:45:00Z,2020-02-19T01:03:34Z
IGO011,VTIUB,800D4F,A21N,IGO,VIDP,LTFM,2020-02-19T00:00:00Z,2020-02-19T00:01:47Z,2020-02-19T06:36:00Z
DAL220,N191DN,A16C3A,B763,DAL,KSLC,LFPG,2020-02-19T00:00:00Z,2020-02-19T00:12:00Z,2020-02-19T09:24:42Z
DAL1,N834MH,AB6851,B764,DAL,KJFK,EGLL,2020-02-19T00:00:00Z,2020-02-19T00:18:00Z,2020-02-19T06:48:48Z
LXJ650,N650FX,A88D4D,GLF6,ZZZ,KSFO,EGGW,2020-02-19T00:00:00Z,2020-02-19T00:22:00Z,2020-02-19T09:30:57Z
AAL740,N289AY,A2EF81,A332,AAL,KPHL,LEMD,2020-02-19T00:00:00Z,2020-02-18T23:44:00Z,2020-02-19T06:34:20Z
ETH3712,ETAPU,040062,B77L,ETH,HAAB,EBLG,2020-02-19T00:00:00Z,2020-02-19T00:02:10Z,2020-02-19T07:12:11Z
MSA56B,EIGHB,NA,B734,MSA,LIPO,LIBD,2020-02-19T00:01:00Z,2020-02-18T23:57:00Z,2020-02-19T01:03:59Z
UTN5731,URAZE,50840A,B738,UTN,UKHH,HESH,2020-02-19T00:05:00Z,2020-02-18T23:53:00Z,2020-02-19T03:37:31Z
MEA209,ODMEA,748017,A332,MEA,OLBA,LFPG,2020-02-19T00:05:00Z,2020-02-19T00:08:27Z,2020-02-19T04:44:18Z
SWT5GL,ECJKH,3422D7,E120,SWT,EGSS,EGPF,2020-02-19T00:05:00Z,2020-02-18T23:52:00Z,2020-02-19T01:26:08Z
MSA92C,EIGHC,NA,B734,MSA,LIPO,LICC,2020-02-19T00:05:00Z,2020-02-19T00:02:00Z,2020-02-19T01:31:30Z
MSA31F,LZLDU,NA,MD82,MSA,LIPO,LIRF,2020-02-19T00:05:00Z,2020-02-19T00:04:00Z,2020-02-19T00:50:51Z
