FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
AZD094,HBAMC,NA,AT43,AZD,ESSA,ESNU,2020-03-03T00:00:00Z,2020-03-02T23:54:00Z,2020-03-03T01:13:05Z
UAL909,N663UA,A8C121,B763,UAL,KORD,EHAM,2020-03-03T00:00:00Z,2020-03-02T23:42:00Z,2020-03-03T07:26:12Z
UAL999,N12006,A05629,B78X,UAL,KEWR,EBBR,2020-03-03T00:00:00Z,2020-03-02T23:53:00Z,2020-03-03T06:25:40Z
IGO011,VTIUA,800D2F,A21N,IGO,VIDP,LTFM,2020-03-03T00:00:00Z,2020-03-03T00:12:13Z,2020-03-03T06:45:00Z
CFC4097,77704A,C2B3F5,C17,ZZZ,CYTR,GOOY,2020-03-03T00:00:00Z,2020-03-03T00:00:00Z,2020-03-03T07:54:09Z
AAL94,N756AM,AA305F,B772,AAL,KJFK,LEMD,2020-03-03T00:00:00Z,2020-03-03T00:59:00Z,2020-03-03T07:20:25Z
DAL1,N826MH,AB4840,B764,DAL,KJFK,EGLL,2020-03-03T00:00:00Z,2020-03-03T00:12:00Z,2020-03-03T07:03:33Z
AAL740,N282AY,A2D580,A332,AAL,KPHL,LEMD,2020-03-03T00:00:00Z,2020-03-02T23:42:00Z,2020-03-03T06:15:57Z
KRP3164,YRFZA,4A1B41,F100,KRP,LOWW,EDDK,2020-03-03T00:01:00Z,2020-03-02T23:37:00Z,2020-03-03T01:03:45Z
WZZ3RT,HALTD,471EFD,A321,WZZ,LIPE,LBSF,2020-03-03T00:01:00Z,2020-03-02T23:57:00Z,2020-03-03T01:33:51Z
MSA56B,EIGHB,NA,B734,MSA,LIPO,LIBD,2020-03-03T00:01:00Z,2020-03-02T23:59:00Z,2020-03-03T01:15:11Z
N1D,N1D,A0004D,GLF4,ZZZ,KHPN,EHAM,2020-03-03T00:01:00Z,2020-03-02T23:52:00Z,2020-03-03T06:23:37Z
KLM672,PHAOD,484443,A332,KLM,CYUL,EHAM,2020-03-03T00:01:00Z,2020-03-03T00:31:00Z,2020-03-03T06:44:10Z
NOS184,EINEO,NA,B789,NOS,LICC,HTZA,2020-03-03T00:03:00Z,2020-03-03T00:08:00Z,2020-03-03T06:31:05Z
AVA016,N784AV,AA9F76,B788,AVA,SKRG,LEMD,2020-03-03T00:03:00Z,2020-03-03T00:16:46Z,2020-03-03T08:33:20Z
UTN5735,URUTQ,5082CB,B738,UTN,UKHH,HESH,2020-03-03T00:05:00Z,2020-03-02T23:52:00Z,2020-03-03T03:45:11Z
UTN3231,URAZE,50840A,B738,UTN,UKLL,HESH,2020-03-03T00:05:00Z,2020-03-03T00:03:00Z,2020-03-03T03:43:38Z
MEA209,ODMEB,748019,A332,MEA,OLBA,LFPG,2020-03-03T00:05:00Z,2020-03-03T00:11:00Z,2020-03-03T04:35:14Z
MSA92C,EIGHC,NA,B734,MSA,LIPO,LICC,2020-03-03T00:05:00Z,2020-03-03T00:16:00Z,2020-03-03T01:57:56Z
MSA95S,SPSPC,NA,AT72,MSA,LIPO,LICA,2020-03-03T00:05:00Z,2020-03-03T00:09:00Z,2020-03-03T02:16:18Z
DLH483,DAIFF,3C64C6,A343,DLH,KTPA,EDDF,2020-03-03T00:05:00Z,2020-03-03T00:13:00Z,2020-03-03T08:43:43Z
FIN6,OHLTP,461F09,A333,FIN,KJFK,EFHK,2020-03-03T00:05:00Z,2020-03-03T00:00:00Z,2020-03-03T08:03:44Z
BCS192,LZCGR,451E2B,B734,BCS,EDDP,EDDK,2020-03-03T00:05:00Z,2020-03-03T00:06:00Z,2020-03-03T01:05:36Z
THY3AR,TCJHL,NA,B738,THY,UWKD,LTFM,2020-03-03T00:05:00Z,2020-03-02T23:55:00Z,2020-03-03T03:35:00Z
BCS37B,DAEAC,3C5423,A306,BCS,EBBR,EDDP,2020-03-03T00:05:00Z,2020-03-03T00:10:00Z,2020-03-03T01:17:11Z
CRL919,FHJAZ,39A419,A333,CRL,KMIA,LFPO,2020-03-03T00:05:00Z,2020-03-03T00:27:00Z,2020-03-03T08:25:49Z
CMB166,N713CK,A9876E,B744,CMB,KWRI,ETAR,2020-03-03T00:05:00Z,2020-03-03T01:07:00Z,2020-03-03T07:59:23Z
DLH485,DAIGN,3C64EE,A343,DLH,MPTO,EDDF,2020-03-03T00:05:00Z,2020-03-03T00:05:10Z,2020-03-03T09:48:22Z
UAE41P,A6EOC,89639C,A388,UAE,KSFO,OMDB,2020-03-03T00:05:00Z,2020-03-03T00:13:00Z,2020-03-03T15:27:00Z
ELY018,4XEDJ,7380C8,B789,ELY,KMIA,LLBG,2020-03-03T00:05:00Z,2020-03-03T00:30:00Z,2020-03-03T11:48:00Z
VIR90R,GVWND,4074FE,A332,VIR,TLPL,EGKK,2020-03-03T00:05:00Z,2020-03-03T00:04:07Z,2020-03-03T07:26:18Z
QTR708,A7BEV,06A2C5,B77W,QTR,KIAD,OTHH,2020-03-03T00:05:00Z,2020-03-02T23:54:00Z,2020-03-03T12:15:00Z
UAE230,A6EQE,896454,B77W,UAE,KSEA,OMDB,2020-03-03T00:05:00Z,2020-03-03T00:00:00Z,2020-03-03T13:52:24Z
AZQ063,4KAZ60,NA,IL76,AZQ,UBBB,OAIX,2020-03-03T00:05:00Z,2020-03-02T23:55:00Z,2020-03-03T02:50:25Z
VIR110,GVMIK,4074FC,A332,VIR,KATL,EGCC,2020-03-03T00:05:00Z,2020-03-03T00:22:00Z,2020-03-03T07:40:02Z
AZU8756,PRAIZ,E4904C,A332,AZU,SBKP,LPPR,2020-03-03T00:05:00Z,2020-03-03T00:19:00Z,2020-03-03T10:04:22Z
AAL50,N736AT,A9E167,B77W,AAL,KDFW,EGLL,2020-03-03T00:05:00Z,2020-03-03T00:05:00Z,2020-03-03T08:26:40Z
RAM329,CNROW,02009F,B763,RAM,GMMN,GABS,2020-03-03T00:05:00Z,2020-03-03T00:16:00Z,2020-03-03T03:10:15Z
MSA61P,GPOWS,400513,B734,MSA,LIPO,LICJ,2020-03-03T00:10:00Z,2020-03-03T00:13:00Z,2020-03-03T01:34:27Z
TAY4128,OOTFC,NA,B752,TAY,LFPG,LFML,2020-03-03T00:10:00Z,2020-03-03T00:44:00Z,2020-03-03T01:59:27Z
ETR895,9HJAI,4D215B,A343,ZZZ,SVMI,LEMD,2020-03-03T00:10:00Z,2020-03-03T00:40:00Z,2020-03-03T08:45:48Z
TAY4805,OEIBI,440107,B734,TAY,EBLG,EDDN,2020-03-03T00:10:00Z,2020-03-03T00:22:51Z,2020-03-03T01:20:36Z
CFG745,DABUH,3C4AA8,B763,CFG,TBPB,EDDF,2020-03-03T00:10:00Z,2020-03-03T00:18:55Z,2020-03-03T08:18:28Z
RAM458,CNCOJ,020142,AT76,RAM,GMMN,GMMW,2020-03-03T00:10:00Z,2020-03-03T00:20:00Z,2020-03-03T01:30:24Z
UAE8MQ,A6EEW,896196,A388,UAE,OMDB,LFPG,2020-03-03T00:10:00Z,2020-03-02T23:58:00Z,2020-03-03T07:13:36Z
PGT94Q,TCCRE,4B8E45,B738,PGT,EDDK,LTFJ,2020-03-03T00:10:00Z,2020-03-03T00:19:00Z,2020-03-03T03:29:00Z
SVR3079,VQBOB,424615,A321,SVR,UUDD,OMRK,2020-03-03T00:10:00Z,2020-03-03T00:10:00Z,2020-03-03T04:51:12Z
KLM724,PHAON,484FAD,A332,KLM,MUHA,EHAM,2020-03-03T00:10:00Z,2020-03-03T00:10:50Z,2020-03-03T08:46:22Z
EWG1253,DAXGB,3C15BE,A332,EWG,TBPB,EDDF,2020-03-03T00:10:00Z,2020-03-03T00:46:56Z,2020-03-03T08:41:50Z
TAY4803,FGZTT,396673,B734,TAY,ESGJ,EFHK,2020-03-03T00:10:00Z,2020-03-02T23:54:46Z,2020-03-03T01:00:04Z
KTK8881,VQBEZ,NA,B752,KTK,UUWW,LTAI,2020-03-03T00:10:00Z,2020-03-03T00:16:06Z,2020-03-03T03:44:00Z
BCS93C,GDHKK,40726C,B752,BCS,EDDP,EGNX,2020-03-03T00:10:00Z,2020-03-03T00:12:00Z,2020-03-03T01:53:26Z
IBE6124,ECLUB,344304,A333,IBE,KMIA,LEMD,2020-03-03T00:10:00Z,2020-03-03T00:18:00Z,2020-03-03T07:56:21Z
ACA862,CFRSE,C02EBD,B789,ACA,CYYZ,EGLL,2020-03-03T00:10:00Z,2020-03-02T23:59:00Z,2020-03-03T06:39:49Z
QTR756,A7BBF,06A076,B77L,QTR,KATL,OTHH,2020-03-03T00:10:00Z,2020-03-03T00:20:00Z,2020-03-03T13:19:45Z
VIR76X,GVROS,4008F6,B744,VIR,KMCO,EGCC,2020-03-03T00:10:00Z,2020-03-03T00:22:00Z,2020-03-03T07:42:04Z
BAW71F,GCIVI,4005E2,B744,BAW,KSFO,EGLL,2020-03-03T00:10:00Z,2020-03-03T00:31:00Z,2020-03-03T10:23:16Z
SDM5659,VPBOB,424354,B738,SDM,ULLI,OMSJ,2020-03-03T00:10:00Z,2020-03-03T00:22:09Z,2020-03-03T05:53:56Z
THY6420,TCJDP,4BA890,A332,THY,LIMC,LTBA,2020-03-03T00:10:00Z,2020-03-03T00:06:00Z,2020-03-03T02:39:00Z
YUBNA,YUBNA,4C05A0,FA50,ZZZ,DTTA,LYBE,2020-03-03T00:10:00Z,2020-03-03T00:17:00Z,2020-03-03T02:01:10Z
DAL258,N812NW,AB120B,A333,DAL,KBOS,EHAM,2020-03-03T00:12:00Z,2020-03-03T00:10:00Z,2020-03-03T06:31:30Z
DAL90,N830MH,AB5975,B764,DAL,KATL,EDDL,2020-03-03T00:14:00Z,2020-03-03T00:24:00Z,2020-03-03T08:27:40Z
AFL2119,RA89056,155BE0,SU95,AFL,EVRA,UUEE,2020-03-03T00:15:00Z,2020-03-03T00:00:00Z,2020-03-03T01:32:00Z
