FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
AZD094,HBAMC,4B013A,AT43,AZD,ESSA,ESNU,2020-01-28T00:00:00Z,2020-01-27T23:51:02Z,2020-01-28T01:09:39Z
IBE6653,ECLEU,343315,A346,IBE,LEMD,SPJC,2020-01-28T00:00:00Z,2020-01-28T00:07:00Z,2020-01-28T11:59:55Z
UAL999,N12010,A05646,B78X,UAL,KEWR,EBBR,2020-01-28T00:00:00Z,2020-01-27T23:59:00Z,2020-01-28T06:28:22Z
UAL962,N66051,A8B75A,B764,UAL,KEWR,EDDT,2020-01-28T00:00:00Z,2020-01-28T00:57:00Z,2020-01-28T08:21:31Z
AFR467,FHRBI,39C428,B789,AFR,SBGL,LFPG,2020-01-28T00:00:00Z,2020-01-28T00:16:00Z,2020-01-28T10:53:53Z
IGO011,VTIUJ,8013AD,A21N,IGO,VIDP,LTFM,2020-01-28T00:00:00Z,2020-01-27T23:56:47Z,2020-01-28T06:30:00Z
N996MS,N996MS,ADEA11,FA7X,ZZZ,KIAD,EGGW,2020-01-28T00:00:00Z,2020-01-27T23:22:00Z,2020-01-28T06:14:01Z
DAL1,N834MH,AB6851,B764,DAL,KJFK,EGLL,2020-01-28T00:00:00Z,2020-01-27T23:46:00Z,2020-01-28T06:40:43Z
TAM9463,PTMSV,E48E71,B763,TAM,LIMC,SBGR,2020-01-28T00:00:00Z,2020-01-28T00:04:00Z,2020-01-28T12:15:42Z
AAL740,N291AY,A2F948,A332,AAL,KPHL,LEMD,2020-01-28T00:00:00Z,2020-01-27T23:50:00Z,2020-01-28T06:44:41Z
KLM672,PHAOF,484445,A332,KLM,CYUL,EHAM,2020-01-28T00:01:00Z,2020-01-28T00:12:20Z,2020-01-28T06:33:44Z
CMB709,N610G,NA,B752,CMB,KIAD,GOBD,2020-01-28T00:01:00Z,2020-01-28T00:01:00Z,2020-01-28T07:25:15Z
RCH335,60025B,AE0576,C5M,RCH,LTAG,ETAR,2020-01-28T00:01:00Z,2020-01-28T00:08:00Z,2020-01-28T04:07:14Z
AVA016,N796AV,AACE63,B788,AVA,SKRG,LEMD,2020-01-28T00:03:00Z,2020-01-28T00:10:39Z,2020-01-28T08:57:39Z
UTN5735,URUTQ,5082CB,B738,UTN,UKHH,HESH,2020-01-28T00:05:00Z,2020-01-28T00:03:00Z,2020-01-28T04:07:04Z
