FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
N446VG,N446VG,A562C9,GLF5,ZZZ,KFXE,EIDW,2020-02-18T00:00:00Z,2020-02-18T00:19:00Z,2020-02-18T07:29:41Z
IGO011,VTIUC,800D57,A21N,IGO,VIDP,LTFM,2020-02-18T00:00:00Z,2020-02-17T23:59:22Z,2020-02-18T06:24:00Z
UAL909,N663UA,A8C121,B763,UAL,KORD,EHAM,2020-02-18T00:00:00Z,2020-02-18T00:01:00Z,2020-02-18T07:39:20Z
UAL999,N12006,A05629,B78X,UAL,KEWR,EBBR,2020-02-18T00:00:00Z,2020-02-18T00:06:00Z,2020-02-18T06:32:55Z
VPCHI,VPCHI,42413C,GLF5,ZZZ,KVNY,EBBR,2020-02-18T00:00:00Z,2020-02-18T00:21:02Z,2020-02-18T10:02:54Z
DAL1,N831MH,AB5D2C,B764,DAL,KJFK,EGLL,2020-02-18T00:00:00Z,2020-02-17T23:47:00Z,2020-02-18T06:37:08Z
AAL740,N286AY,A2E45C,A332,AAL,KPHL,LEMD,2020-02-18T00:00:00Z,2020-02-17T23:43:00Z,2020-02-18T06:18:42Z
NHX10,OONHV,NA,AS65,ZZZ,EHTP,EHTP,2020-02-18T00:00:00Z,2020-02-18T00:00:00Z,2020-02-18T01:01:00Z
MSA56B,EIGHB,NA,B734,MSA,LIPO,LIBD,2020-02-18T00:01:00Z,2020-02-17T23:54:00Z,2020-02-18T01:28:20Z
SVA9090,TCOCI,4BBC69,A332,SVA,OEJN,LTBA,2020-02-18T00:01:00Z,2020-02-18T00:03:00Z,2020-02-18T03:32:00Z
LOG772,GGNTF,400785,SF34,LOG,EGPH,EGAA,2020-02-18T00:01:00Z,2020-02-17T23:43:00Z,2020-02-18T00:34:00Z
AVA016,N784AV,AA9F76,B788,AVA,SKRG,LEMD,2020-02-18T00:03:00Z,2020-02-18T00:06:39Z,2020-02-18T09:04:16Z
UTN5735,URUTQ,5082CB,B738,UTN,UKHH,HESH,2020-02-18T00:05:00Z,2020-02-17T23:46:00Z,2020-02-18T03:34:46Z
UTN3231,URAZE,50840A,B738,UTN,UKLL,HESH,2020-02-18T00:05:00Z,2020-02-18T00:00:00Z,2020-02-18T03:41:37Z
MEA209,ODMEA,748017,A332,MEA,OLBA,LFPG,2020-02-18T00:05:00Z,2020-02-18T00:19:13Z,2020-02-18T04:51:47Z
MSA92C,EIGHA,NA,B734,MSA,LIPO,LICC,2020-02-18T00:05:00Z,2020-02-17T23:59:00Z,2020-02-18T01:31:11Z
MSA31F,LZLDU,NA,MD82,MSA,LIPO,LIRF,2020-02-18T00:05:00Z,2020-02-18T00:14:00Z,2020-02-18T01:03:29Z
TOM193,GTUIE,406B12,B788,TOM,MMUN,EGCC,2020-02-18T00:05:00Z,2020-02-18T00:15:02Z,2020-02-18T08:19:24Z
