FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
AZD094,HBAMB,4B0139,AT43,AZD,ESSA,ESNU,2020-02-05T00:00:00Z,2020-02-04T23:49:00Z,2020-02-05T01:20:09Z
N123FT,N123FT,A05F66,GLF5,ZZZ,KTEB,EGSS,2020-02-05T00:00:00Z,2020-02-04T23:45:00Z,2020-02-05T06:04:54Z
N685MF,N685MF,A916E3,GLF4,ZZZ,KTEB,EPWA,2020-02-05T00:00:00Z,2020-02-04T23:34:00Z,2020-02-05T07:29:05Z
LDX2,OEIRB,440CBC,GLEX,LDX,LOWW,KEWR,2020-02-05T00:00:00Z,2020-02-04T23:52:00Z,2020-02-05T08:39:29Z
UAL999,N16009,A0F428,B78X,UAL,KEWR,EBBR,2020-02-05T00:00:00Z,2020-02-05T00:37:00Z,2020-02-05T07:32:49Z
ETH3712,ETAPU,040062,B77L,ETH,HAAB,EBLG,2020-02-05T00:00:00Z,2020-02-04T23:48:36Z,2020-02-05T06:44:21Z
IGO011,VTIUD,800D58,A21N,IGO,VIDP,LTFM,2020-02-05T00:00:00Z,2020-02-05T00:11:17Z,2020-02-05T07:17:00Z
DAL220,N182DN,A14872,B763,DAL,KSLC,LFPG,2020-02-05T00:00:00Z,2020-02-05T00:07:00Z,2020-02-05T09:32:20Z
DAL1,N833MH,AB649A,B764,DAL,KJFK,EGLL,2020-02-05T00:00:00Z,2020-02-04T23:35:00Z,2020-02-05T06:37:54Z
AAL740,N290AY,A2F591,A332,AAL,KPHL,LEMD,2020-02-05T00:00:00Z,2020-02-04T23:44:00Z,2020-02-05T07:01:42Z
MSA56B,EIGHB,NA,B734,MSA,LIPO,LIBD,2020-02-05T00:01:00Z,2020-02-05T00:06:00Z,2020-02-05T01:14:24Z
UTN5731,URUTQ,5082CB,B738,UTN,UKHH,HESH,2020-02-05T00:05:00Z,2020-02-05T00:16:00Z,2020-02-05T04:16:29Z
ABP932,OKJMD,49D39D,GLF5,ABP,LBWN,TNCM,2020-02-05T00:05:00Z,2020-02-05T00:12:00Z,2020-02-05T11:53:43Z
SWT5GL,ECJKH,3422D7,E120,SWT,EGSS,EGPF,2020-02-05T00:05:00Z,2020-02-04T23:57:00Z,2020-02-05T01:33:51Z
PGT407,TCCRB,NA,B738,PGT,OMAA,LTFJ,2020-02-05T00:05:00Z,2020-02-05T00:05:00Z,2020-02-05T05:07:00Z
