FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
GSVNX,GSVNX,406560,FA7X,ZZZ,CYVR,EGLF,2020-03-15T00:00:00Z,2020-03-14T23:50:00Z,2020-03-15T08:39:00Z
VJT763,9HOPE,4D2066,GLEX,VJT,ZZZZ,EFHK,2020-03-15T00:00:00Z,2020-03-14T23:37:10Z,2020-03-15T10:45:05Z
IGO011,VTIUJ,8013AD,A21N,IGO,VIDP,LTFM,2020-03-15T00:00:00Z,2020-03-14T23:53:29Z,2020-03-15T06:31:00Z
UAL999,N16009,A0F428,B78X,UAL,KEWR,EBBR,2020-03-15T00:00:00Z,2020-03-15T00:19:00Z,2020-03-15T06:51:53Z
RJA264,JYBAA,740821,B788,RJA,KORD,OJAI,2020-03-15T00:00:00Z,2020-03-14T23:41:00Z,2020-03-15T10:33:00Z
N19NE,N19NE,A16703,FA7X,ZZZ,KBDL,LSZH,2020-03-15T00:00:00Z,2020-03-14T23:37:00Z,2020-03-15T06:31:23Z
DAL1,N829MH,AB5365,B764,DAL,KJFK,EGLL,2020-03-15T00:00:00Z,2020-03-15T00:02:00Z,2020-03-15T06:45:46Z
BBB20,OYWLD,45DD84,GA5C,BBB,MDSD,LEMG,2020-03-15T00:01:00Z,2020-03-15T00:25:02Z,2020-03-15T07:35:35Z
ABB5961,OOABB,448442,A343,ABB,TFFR,EBCI,2020-03-15T00:01:00Z,2020-03-15T00:14:37Z,2020-03-15T08:12:46Z
KLM672,PHAKF,4850E6,A333,KLM,CYUL,EHAM,2020-03-15T00:01:00Z,2020-03-14T23:47:00Z,2020-03-15T06:17:11Z
MSC387,SUBSN,010194,A320,MSC,HEGN,LYBE,2020-03-15T00:01:00Z,2020-03-15T00:07:00Z,2020-03-15T03:30:35Z
FDX5084,N868FD,ABED10,B77L,FDX,LFPG,LIMC,2020-03-15T00:01:00Z,2020-03-15T00:01:00Z,2020-03-15T01:25:55Z
TVS2486,SPTVZ,48CB15,B738,TVS,GCRR,LFLL,2020-03-15T00:01:29Z,2020-03-15T00:10:00Z,2020-03-15T03:23:46Z
FDX97,N617FE,A80941,MD11,FDX,EDDK,KMEM,2020-03-15T00:04:00Z,2020-03-14T23:50:00Z,2020-03-15T10:11:38Z
UTN5735,URAZF,508421,B738,UTN,UKHH,HESH,2020-03-15T00:05:00Z,2020-03-15T00:00:00Z,2020-03-15T03:58:57Z
UTN3231,URUTQ,5082CB,B738,UTN,UKLL,HESH,2020-03-15T00:05:00Z,2020-03-14T23:53:00Z,2020-03-15T03:38:41Z
MEA209,ODMEB,748019,A332,MEA,OLBA,LFPG,2020-03-15T00:05:00Z,2020-03-15T00:01:44Z,2020-03-15T04:37:47Z
AUI374,URPSM,508366,B738,AUI,OMDB,UKBB,2020-03-15T00:05:00Z,2020-03-15T00:25:00Z,2020-03-15T06:42:00Z
RYR67QT,EIDYZ,4CA6FD,B738,RYR,GCLP,LEMD,2020-03-15T00:05:00Z,2020-03-15T00:04:00Z,2020-03-15T02:35:24Z
BRU8261,EW438PA,51008E,B738,BRU,UMMS,HEGN,2020-03-15T00:05:00Z,2020-03-15T00:03:00Z,2020-03-15T04:09:23Z
