FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
FXT615,OYINV,45A5D6,CL60,FXT,KTEB,EKRK,2020-03-16T00:00:00Z,2020-03-16T00:50:00Z,2020-03-16T08:15:40Z
MMD22,OYSKK,45CD6B,FA8X,MMD,KFLL,EKBI,2020-03-16T00:00:00Z,2020-03-15T23:48:00Z,2020-03-16T08:09:13Z
MMD11,OYEKC,459563,FA7X,MMD,KFLL,EKBI,2020-03-16T00:00:00Z,2020-03-15T23:44:00Z,2020-03-16T08:11:25Z
GRL902,OYJJC,45A943,H25B,GRL,BGSF,EKCH,2020-03-16T00:00:00Z,2020-03-15T23:31:00Z,2020-03-16T03:46:53Z
ETH3737,ETAPU,040062,B77L,ETH,DNMM,EBLG,2020-03-16T00:00:00Z,2020-03-15T23:51:19Z,2020-03-16T05:40:39Z
UAL999,N12012,A05648,B78X,UAL,KEWR,EBBR,2020-03-16T00:00:00Z,2020-03-16T00:03:00Z,2020-03-16T06:25:31Z
DAL1,N826MH,AB4840,B764,DAL,KJFK,EGLL,2020-03-16T00:00:00Z,2020-03-15T23:53:00Z,2020-03-16T06:28:28Z
RJA264,JYBAG,740827,B788,RJA,KORD,OJAI,2020-03-16T00:00:00Z,2020-03-15T23:47:00Z,2020-03-16T10:53:00Z
N19NE,N19NE,A16703,FA7X,ZZZ,EGSS,KEWR,2020-03-16T00:01:00Z,2020-03-15T23:52:00Z,2020-03-16T07:43:55Z
UPS236,N339UP,A3B90E,B763,UPS,EDDK,EGSS,2020-03-16T00:01:00Z,2020-03-15T23:36:00Z,2020-03-16T00:51:20Z
TAY4216,OOTNN,44D1CE,B734,TAY,EBLG,LFML,2020-03-16T00:04:00Z,2020-03-15T23:56:00Z,2020-03-16T01:30:36Z
UTN5731,URAZF,508421,B738,UTN,UKHH,HESH,2020-03-16T00:05:00Z,2020-03-16T00:17:00Z,2020-03-16T04:24:22Z
BCS7492,SERLB,4AC982,B762,BCS,EDDP,LIPZ,2020-03-16T00:05:00Z,2020-03-16T00:09:00Z,2020-03-16T01:29:34Z
MEA209,ODMEB,748019,A332,MEA,OLBA,LFPG,2020-03-16T00:05:00Z,2020-03-16T00:05:08Z,2020-03-16T04:28:17Z
SRR5336,OYSRP,45CE50,B762,SRR,EDDP,LZIB,2020-03-16T00:05:00Z,2020-03-16T00:02:00Z,2020-03-16T01:10:03Z
SRR6978,OYSRG,45CE47,B762,SRR,EDDK,EGNX,2020-03-16T00:05:00Z,2020-03-15T23:43:00Z,2020-03-16T01:07:22Z
TOM751,GFDZF,4054A8,B738,TOM,GCTS,EGKK,2020-03-16T00:05:00Z,2020-03-16T00:21:00Z,2020-03-16T04:27:00Z
DCAPB,DCAPB,3CC187,C560,ZZZ,EDDV,EIDW,2020-03-16T00:05:00Z,2020-03-15T23:59:00Z,2020-03-16T01:46:37Z
TOM9EJ,GFDZR,405E23,B738,TOM,EGBB,GCTS,2020-03-16T00:05:00Z,2020-03-16T00:11:00Z,2020-03-16T04:15:16Z
FIN6,OHLTU,461F0E,A333,FIN,KJFK,EFHK,2020-03-16T00:05:00Z,2020-03-15T23:54:00Z,2020-03-16T07:40:10Z
DCAWR,DCAWR,3CC24D,C560,ZZZ,EDDV,EIDW,2020-03-16T00:05:00Z,2020-03-16T00:02:00Z,2020-03-16T01:50:37Z
UAE230,A6ECU,89611C,B77W,UAE,KSEA,OMDB,2020-03-16T00:05:00Z,2020-03-16T00:03:00Z,2020-03-16T14:13:04Z
BLX406,GTUIJ,406F3B,B789,BLX,VTSG,ESSA,2020-03-16T00:05:00Z,2020-03-16T00:15:00Z,2020-03-16T11:20:07Z
CPA037,BLID,78021A,B744,CPA,VIDP,EDDF,2020-03-16T00:05:00Z,2020-03-15T23:25:00Z,2020-03-16T07:27:34Z
TFL370,PHTFM,48506D,B788,TFL,TNCC,EHAM,2020-03-16T00:05:00Z,2020-03-16T00:13:35Z,2020-03-16T08:57:18Z
ABG8841,VQBRF,4243ED,B738,ABG,UWGG,OMDW,2020-03-16T00:05:00Z,2020-03-16T00:05:00Z,2020-03-16T04:55:47Z
UTN4431,URAZC,5083E3,B763,UTN,UKBB,HESH,2020-03-16T00:05:00Z,2020-03-15T23:58:00Z,2020-03-16T03:45:13Z
UAL36,N14120,A0A91E,B752,UAL,KEWR,EGPH,2020-03-16T00:05:00Z,2020-03-16T00:08:00Z,2020-03-16T06:07:19Z
CXI9172,TCTJI,4BD149,B738,CXI,EDDN,GMMX,2020-03-16T00:05:00Z,2020-03-16T00:06:00Z,2020-03-16T03:39:34Z
AUI374,URPSJ,508302,B739,AUI,OMDB,UKBB,2020-03-16T00:05:00Z,2020-03-16T00:24:00Z,2020-03-16T06:40:00Z
CNTKD,CNTKD,47182E,C650,ZZZ,GMME,EBBR,2020-03-16T00:05:00Z,2020-03-16T01:29:00Z,2020-03-16T04:36:40Z
QTR708,A7BEP,06A2B4,B77W,QTR,KIAD,OTHH,2020-03-16T00:05:00Z,2020-03-15T23:35:00Z,2020-03-16T11:48:22Z
THY3AR,TCJHZ,NA,B738,THY,UWKD,LTFM,2020-03-16T00:05:00Z,2020-03-16T00:21:00Z,2020-03-16T03:58:00Z
AZQ4717,4KAZ41,NA,IL76,AZQ,UBBB,OAIX,2020-03-16T00:05:00Z,2020-03-15T23:59:00Z,2020-03-16T02:44:07Z
CLX7337,LXUCV,4D010A,B744,CLX,UTAA,LHBP,2020-03-16T00:05:00Z,2020-03-16T00:02:00Z,2020-03-16T04:40:24Z
BAW2266,GVIIP,4006C2,B772,BAW,KTPA,EGKK,2020-03-16T00:05:00Z,2020-03-16T00:05:00Z,2020-03-16T07:56:13Z
AAL50,N726AN,A9B9E3,B77W,AAL,KDFW,EGLL,2020-03-16T00:05:00Z,2020-03-16T00:35:00Z,2020-03-16T08:51:07Z
VJT842,9HVJL,4D20D7,GLEX,VJT,KNUQ,ESSA,2020-03-16T00:05:00Z,2020-03-16T00:57:00Z,2020-03-16T10:54:21Z
VLG28NN,ECMGZ,34469A,A321,VLG,LEBL,GCLP,2020-03-16T00:10:00Z,2020-03-16T00:50:00Z,2020-03-16T04:08:14Z
KTK8881,VPBIR,NA,B738,KTK,UUWW,LTAI,2020-03-16T00:10:00Z,2020-03-16T00:21:57Z,2020-03-16T03:54:00Z
PGT741,TCRBB,NA,A21N,PGT,OMDB,LTFJ,2020-03-16T00:10:00Z,2020-03-16T00:02:00Z,2020-03-16T04:38:00Z
PGT94Q,TCRBA,4BC841,A21N,PGT,EDDK,LTFJ,2020-03-16T00:10:00Z,2020-03-15T23:56:00Z,2020-03-16T02:54:00Z
BCS68J,EIOZL,4CA515,A306,BCS,EDDP,LIPE,2020-03-16T00:10:00Z,2020-03-16T00:20:00Z,2020-03-16T01:42:39Z
IBE6124,ECLZJ,3444C4,A333,IBE,KMIA,LEMD,2020-03-16T00:10:00Z,2020-03-16T00:42:00Z,2020-03-16T08:47:35Z
QTR756,A7BBH,06A07E,B77L,QTR,KATL,OTHH,2020-03-16T00:10:00Z,2020-03-15T23:58:00Z,2020-03-16T13:00:51Z
BAW2152,GVIIW,400774,B772,BAW,TBPB,EGKK,2020-03-16T00:10:00Z,2020-03-16T00:37:12Z,2020-03-16T08:11:00Z
BAW71F,GCIVU,4006AB,B744,BAW,KSFO,EGLL,2020-03-16T00:10:00Z,2020-03-16T00:52:00Z,2020-03-16T10:20:02Z
DAL44,N809NW,AB048D,A333,DAL,KJFK,EIDW,2020-03-16T00:12:00Z,2020-03-16T00:18:00Z,2020-03-16T06:17:49Z
BLUE23,23534S,NA,K35R,ZZZ,KIAB,LPLA,2020-03-16T00:14:00Z,2020-03-15T23:20:03Z,2020-03-16T06:08:00Z
AFL2119,RA89044,155BD4,SU95,AFL,EVRA,UUEE,2020-03-16T00:15:00Z,2020-03-16T00:16:00Z,2020-03-16T01:45:00Z
SRR6374,OYSRV,45CE56,B763,SRR,EDDK,LFLL,2020-03-16T00:15:00Z,2020-03-16T00:19:00Z,2020-03-16T01:24:37Z
VLG22AZ,ECMBF,34454A,A320,VLG,LEPA,LEMG,2020-03-16T00:15:00Z,2020-03-16T00:44:00Z,2020-03-16T02:09:36Z
RYR147G,EIGXI,4CAFC4,B738,RYR,LPPD,LPPR,2020-03-16T00:15:00Z,2020-03-16T00:13:00Z,2020-03-16T02:15:07Z
SZN403,9HSZN,4D21C5,A339,ZZZ,GOBD,LFPG,2020-03-16T00:15:00Z,2020-03-16T00:56:09Z,2020-03-16T06:08:58Z
CAZ103,HBIBJ,4B1543,F2TH,CAZ,ENGM,ESGG,2020-03-16T00:15:00Z,2020-03-16T00:10:00Z,2020-03-16T00:52:59Z
PGT689,TCNCB,4BB862,A20N,PGT,OEMA,LTAN,2020-03-16T00:15:00Z,2020-03-16T00:19:29Z,2020-03-16T03:11:00Z
BNO4K,LNBSI,478EA8,BE20,ZZZ,ENTC,ENKR,2020-03-16T00:15:00Z,2020-03-15T23:59:00Z,2020-03-16T01:00:16Z
CMB589,N819AX,AB2AE1,B772,CMB,OKBK,LBSF,2020-03-16T00:15:00Z,2020-03-16T01:37:20Z,2020-03-16T06:09:35Z
ELY032,4XEDA,7380C0,B789,ELY,CYYZ,LLBG,2020-03-16T00:15:00Z,2020-03-16T00:16:00Z,2020-03-16T10:23:00Z
KLM738,PHAOB,484410,A332,KLM,TNCC,EHAM,2020-03-16T00:15:00Z,2020-03-16T00:19:13Z,2020-03-16T09:03:05Z
NAX7048,LNLNO,47C968,B789,NAX,KMIA,LFPG,2020-03-16T00:15:00Z,2020-03-16T00:37:00Z,2020-03-16T08:25:01Z
BCS916,DALEP,3C70B0,B752,BCS,EDDP,UKBB,2020-03-16T00:15:00Z,2020-03-16T00:18:00Z,2020-03-16T02:19:00Z
AFR228,FGSPS,3949F2,B772,AFR,LFPG,SAEZ,2020-03-16T00:15:00Z,2020-03-16T00:33:00Z,2020-03-16T14:15:56Z
SVR1115,VQBKH,4249CD,A321,SVR,UUDD,OBBI,2020-03-16T00:15:00Z,2020-03-16T00:15:00Z,2020-03-16T04:50:49Z
FHY9204,TCFBV,4B9856,A320,FHY,LTAI,OEJN,2020-03-16T00:15:00Z,2020-03-15T23:49:00Z,2020-03-16T02:42:27Z
ANZ2,ZKOKS,C8215F,B77W,ANZ,KLAX,EGLL,2020-03-16T00:15:00Z,2020-03-16T00:19:00Z,2020-03-16T09:59:12Z
HKSSAR4,LNOQR,NA,S92,ZZZ,ENZV,ENJS,2020-03-16T00:15:00Z,2020-03-16T00:08:16Z,2020-03-16T01:04:21Z
AAL174,N789AN,AAB202,B772,AAL,KRDU,EGLL,2020-03-16T00:15:00Z,2020-03-16T00:20:00Z,2020-03-16T07:04:12Z
TAY4289,OEIBO,440118,B734,TAY,EBLG,LKTB,2020-03-16T00:16:00Z,2020-03-15T23:57:00Z,2020-03-16T01:23:10Z
DAL30,N836MH,AB6FBF,B764,DAL,KATL,EGLL,2020-03-16T00:18:00Z,2020-03-16T00:26:00Z,2020-03-16T07:55:30Z
BAW282,GBYGC,4006B3,B744,BAW,KLAX,EGLL,2020-03-16T00:20:00Z,2020-03-16T00:36:00Z,2020-03-16T10:18:18Z
QTR8444,A7BFM,06A1EA,B77L,QTR,OTHH,EGSS,2020-03-16T00:20:00Z,2020-03-16T00:11:00Z,2020-03-16T06:59:03Z
EDW39,HBJHQ,4B188A,A333,EDW,MUVR,LSZH,2020-03-16T00:20:00Z,2020-03-16T00:41:01Z,2020-03-16T09:31:20Z
TAP242,CSTUA,4952A1,A339,TAP,KORD,LPPT,2020-03-16T00:20:00Z,2020-03-16T00:35:00Z,2020-03-16T08:02:11Z
ETH407,ETAUO,040140,B789,ETH,OLBA,HAAB,2020-03-16T00:20:00Z,2020-03-16T00:42:20Z,2020-03-16T04:44:34Z
LAV939P,ECNAB,346107,B738,LAV,LIMC,EDDB,2020-03-16T00:21:00Z,2020-03-16T00:37:00Z,2020-03-16T02:05:22Z
DAL258,N816NW,AB20E7,A333,DAL,KBOS,EHAM,2020-03-16T00:24:00Z,2020-03-16T00:17:00Z,2020-03-16T06:33:11Z
SRR6382,OYSRN,45CE4E,B762,SRR,EDDK,LFML,2020-03-16T00:25:00Z,2020-03-16T00:00:00Z,2020-03-16T01:42:17Z
MNB9346,TCMCG,4BB467,A306,MNB,EDDP,LTBA,2020-03-16T00:25:00Z,2020-03-16T00:24:00Z,2020-03-16T02:51:00Z
QTR1463,A7BCG,06A0AB,B788,QTR,OTHH,GMMX,2020-03-16T00:25:00Z,2020-03-16T00:23:00Z,2020-03-16T08:08:12Z
UTN4472,URAZE,50840A,B738,UTN,HESH,UKBB,2020-03-16T00:25:00Z,2020-03-16T00:06:00Z,2020-03-16T04:23:00Z
SVR3001,VPBSY,NA,A321,SVR,UUDD,LTAI,2020-03-16T00:25:00Z,2020-03-16T00:26:00Z,2020-03-16T03:47:00Z
TAP1522,CSTVE,4952C5,A20N,TAP,DGAA,LPPT,2020-03-16T00:25:00Z,2020-03-16T00:36:00Z,2020-03-16T06:07:16Z
AFL103,VQBQB,424573,B77W,AFL,KJFK,UUEE,2020-03-16T00:25:00Z,2020-03-16T00:14:00Z,2020-03-16T08:39:34Z
ACA832,CFSBV,C02FB8,B789,ACA,CYUL,EBBR,2020-03-16T00:25:00Z,2020-03-16T00:31:00Z,2020-03-16T06:52:56Z
TAP088,CSTUB,4952A2,A339,TAP,SBGR,LPPT,2020-03-16T00:25:00Z,2020-03-16T00:30:00Z,2020-03-16T10:01:09Z
BAW176A,GCIVS,4006A9,B744,BAW,KJFK,EGLL,2020-03-16T00:25:00Z,2020-03-16T00:57:00Z,2020-03-16T07:11:41Z
UPS208,N329UP,A3918F,B763,UPS,EDDK,KEWR,2020-03-16T00:26:00Z,2020-03-16T00:08:00Z,2020-03-16T08:27:52Z
AUA843,OELDB,4400B3,A319,AUA,LOWW,LATI,2020-03-16T00:30:00Z,2020-03-16T00:28:00Z,2020-03-16T01:46:08Z
VLG39HJ,ECNDB,346610,A20N,VLG,LEBL,LEPA,2020-03-16T00:30:00Z,2020-03-16T00:37:00Z,2020-03-16T01:24:28Z
CFG207,DABUE,3C4AA5,B763,CFG,MUHG,EDDF,2020-03-16T00:30:00Z,2020-03-16T01:24:52Z,2020-03-16T10:16:15Z
THY6446,TCLER,NA,A310,THY,LTBA,ORER,2020-03-16T00:30:00Z,2020-03-16T00:27:00Z,2020-03-16T02:34:17Z
IAM4610,MM62178,NA,C30J,IAM,LIME,LIBP,2020-03-16T00:30:00Z,2020-03-16T00:31:00Z,2020-03-16T01:40:06Z
PGT624,TCAEP,4B84B0,B738,PGT,HEGN,LTFJ,2020-03-16T00:30:00Z,2020-03-16T00:35:00Z,2020-03-16T03:19:21Z
N531QS,N531QS,A6B593,GLF5,ZZZ,KHPN,LFLB,2020-03-16T00:30:00Z,2020-03-16T00:22:00Z,2020-03-16T07:11:55Z
KLM676,PHAOF,484445,A332,KLM,CYEG,EHAM,2020-03-16T00:30:00Z,2020-03-16T00:28:00Z,2020-03-16T08:46:36Z
EIN1HL,EILRD,4CA9CB,A21N,EIN,KBOS,EINN,2020-03-16T00:30:00Z,2020-03-16T00:30:00Z,2020-03-16T05:47:17Z
BCS3612,EIDGU,4CA247,A306,BCS,EDDP,EFHK,2020-03-16T00:30:00Z,2020-03-16T00:28:00Z,2020-03-16T02:22:28Z
BCS1684,DALER,3C70B2,B752,BCS,EDDP,LFML,2020-03-16T00:30:00Z,2020-03-16T00:26:00Z,2020-03-16T02:14:18Z
NRS18U,GCKOG,40742F,B789,NRS,KJFK,EGKK,2020-03-16T00:30:00Z,2020-03-16T00:04:00Z,2020-03-16T06:32:41Z
