FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
UAL999,N12006,A05629,B78X,UAL,KEWR,EBBR,NA,2020-03-21T00:48:00Z,2020-03-21T07:13:40Z
DAL1,N836MH,AB6FBF,B764,DAL,KJFK,EGLL,NA,2020-03-20T23:38:00Z,2020-03-21T06:33:22Z
