FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
UAL909,N656UA,A8A4C7,B763,UAL,KORD,EHAM,2020-01-19T00:00:00Z,2020-01-19T00:54:00Z,2020-01-19T08:43:40Z
UAL999,N16008,A0F427,B78X,UAL,KEWR,EBBR,2020-01-19T00:00:00Z,2020-01-19T01:53:00Z,2020-01-19T08:28:54Z
CSN461,B2081,780654,B77L,CSN,ZSPD,EDDF,2020-01-19T00:00:00Z,2020-01-19T00:59:13Z,2020-01-19T13:19:48Z
DAL1,N828MH,AB4FAE,B764,DAL,KJFK,EGLL,2020-01-19T00:00:00Z,2020-01-19T02:35:00Z,2020-01-19T09:22:24Z
DAL220,N1602,A0F44C,B763,DAL,KSLC,LFPG,2020-01-19T00:00:00Z,2020-01-19T00:02:00Z,2020-01-19T09:33:29Z
AAL94,N775AN,AA7BA7,B772,AAL,KJFK,LEMD,2020-01-19T00:00:00Z,2020-01-19T02:23:00Z,2020-01-19T09:59:48Z
OLIVE57,6414845,AE01C7,R135,ZZZ,KOFF,EGUN,2020-01-19T00:00:00Z,2020-01-19T03:31:00Z,2020-01-19T11:31:40Z
AAL740,N293AY,A300B6,A332,AAL,KPHL,LEMD,2020-01-19T00:00:00Z,2020-01-19T01:04:00Z,2020-01-19T08:29:09Z
IGO011,VTIUC,800D57,A21N,IGO,VIDP,LTFM,2020-01-19T00:00:00Z,2020-01-19T00:27:52Z,2020-01-19T07:12:00Z
DIPOD,DIPOD,NA,C525,ZZZ,LEST,LEXJ,2020-01-19T00:00:00Z,2020-01-18T23:46:00Z,2020-01-19T00:48:09Z
KLM672,PHAOA,48440F,A332,KLM,CYUL,EHAM,2020-01-19T00:01:00Z,2020-01-19T00:48:00Z,2020-01-19T07:10:30Z
N858MY,N858MY,NA,CL60,ZZZ,KFLL,LEMG,2020-01-19T00:01:00Z,2020-01-19T00:13:00Z,2020-01-19T08:59:51Z
ABB5961,OOABB,448442,A343,ZZZ,TFFR,EBCI,2020-01-19T00:01:00Z,2020-01-19T00:11:55Z,2020-01-19T08:47:59Z
MSC387,SUBPU,0100E4,A320,MSC,HEGN,LYBE,2020-01-19T00:01:00Z,2020-01-18T23:56:00Z,2020-01-19T03:17:40Z
FDX5084,N859FD,ABC948,B77L,FDX,LFPG,LIMC,2020-01-19T00:01:00Z,2020-01-18T23:41:00Z,2020-01-19T01:17:09Z
HVN37,NA,88812A,B789,HVN,VVNB,EDDF,2020-01-19T00:01:00Z,2020-01-18T17:30:05Z,2020-01-19T05:00:21Z
UTN5735,URUTQ,5082CB,B738,UTN,UKHH,HESH,2020-01-19T00:05:00Z,2020-01-18T23:49:00Z,2020-01-19T03:46:39Z
UTN3231,URAZC,5083E3,B763,UTN,UKLL,HESH,2020-01-19T00:05:00Z,2020-01-18T23:59:00Z,2020-01-19T03:40:20Z
MEA209,ODMED,748029,A332,MEA,OLBA,LFPG,2020-01-19T00:05:00Z,2020-01-19T00:09:07Z,2020-01-19T04:41:17Z
RYR478,EIDLC,4CA2C0,B738,RYR,LRBS,LROP,2020-01-19T00:05:00Z,2020-01-19T00:15:00Z,2020-01-19T00:56:13Z
FIN6,OHLTS,461F0C,A333,FIN,KJFK,EFHK,2020-01-19T00:05:00Z,2020-01-19T01:25:00Z,2020-01-19T08:55:13Z
