FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
AAL44,N790AN,AAB812,B772,AAL,KJFK,LFPG,2020-03-19T00:00:00Z,2020-03-18T23:50:00Z,2020-03-19T06:44:55Z
UAL999,N12012,A05648,B78X,UAL,KEWR,EBBR,2020-03-19T00:00:00Z,2020-03-19T02:17:00Z,2020-03-19T08:54:08Z
ABB5961,OOABB,448442,A343,ABB,TFFR,EBCI,2020-03-19T00:00:00Z,2020-03-19T00:00:03Z,2020-03-19T07:51:34Z
DAL1,N828MH,AB4FAE,B764,DAL,KJFK,EGLL,2020-03-19T00:00:00Z,2020-03-18T23:38:00Z,2020-03-19T06:29:31Z
SWT5GL,ECJKH,3422D7,E120,SWT,EGSS,EGPF,2020-03-19T00:01:00Z,2020-03-18T23:53:00Z,2020-03-19T01:18:04Z
BAW9112,GSTBG,406947,B77W,BAW,MUHA,EGLL,2020-03-19T00:01:00Z,2020-03-19T01:39:36Z,2020-03-19T10:07:22Z
KLM672,PHAOB,484410,A332,KLM,CYUL,EHAM,2020-03-19T00:01:00Z,2020-03-18T23:47:00Z,2020-03-19T06:10:19Z
THT68,FOTOA,3A4DC0,B789,THT,TFFR,LFPG,2020-03-19T00:01:00Z,2020-03-18T23:32:00Z,2020-03-19T06:59:02Z
FEG3087,SUTMJ,0101CE,B738,FEG,HEGN,LFLL,2020-03-19T00:01:00Z,2020-03-18T23:55:00Z,2020-03-19T04:33:08Z
MSA92C,EIGHB,NA,B734,MSA,LIPO,LICC,2020-03-19T00:05:00Z,2020-03-18T23:55:00Z,2020-03-19T01:29:24Z
TIE198P,OKPPP,49D371,BE40,TIE,ESSA,LKPR,2020-03-19T00:05:00Z,2020-03-18T23:57:00Z,2020-03-19T01:46:04Z
MSA95S,SPSPC,NA,AT72,MSA,LIPO,LICA,2020-03-19T00:05:00Z,2020-03-19T00:13:00Z,2020-03-19T02:18:52Z
FWI607,FHTRE,39CE24,A359,FWI,MDPC,LFPO,2020-03-19T00:05:00Z,2020-03-19T00:58:19Z,2020-03-19T08:38:14Z
FIN6,OHLTU,461F0E,A333,FIN,KJFK,EFHK,2020-03-19T00:05:00Z,2020-03-18T23:36:00Z,2020-03-19T07:24:41Z
WRC7663,URWRI,50822F,A321,WRC,UKBB,HEGN,2020-03-19T00:05:00Z,2020-03-19T00:03:00Z,2020-03-19T03:36:09Z
BCS192,LZCGS,451D99,B734,BCS,EDDP,EDDK,2020-03-19T00:05:00Z,2020-03-19T00:03:00Z,2020-03-19T00:56:46Z
QTR708,A7BAC,06A062,B77W,QTR,KIAD,OTHH,2020-03-19T00:05:00Z,2020-03-18T23:39:00Z,2020-03-19T12:11:44Z
AZA991P,EIIXZ,4CA846,A321,AZA,LIPO,LIRF,2020-03-19T00:05:00Z,2020-03-19T00:08:00Z,2020-03-19T01:00:22Z
BCS37B,DALES,3C70B3,B752,BCS,EBBR,EDDP,2020-03-19T00:05:00Z,2020-03-19T00:06:00Z,2020-03-19T01:24:28Z
UAE41P,A6EOG,8963E4,A388,UAE,KSFO,OMDB,2020-03-19T00:05:00Z,2020-03-19T00:23:00Z,2020-03-19T15:27:19Z
UAE230,A6EQD,896453,B77W,UAE,KSEA,OMDB,2020-03-19T00:05:00Z,2020-03-19T00:30:00Z,2020-03-19T14:32:45Z
UAL36,N643UA,A87223,B763,UAL,KEWR,EGPH,2020-03-19T00:05:00Z,2020-03-18T23:59:00Z,2020-03-19T06:10:19Z
T7PRM,T7PRM,5000B9,GALX,ZZZ,EGGW,UKDD,2020-03-19T00:05:00Z,2020-03-19T00:01:00Z,2020-03-19T03:10:00Z
VIR50,GVAST,400678,B744,VIR,KMCO,EGKK,2020-03-19T00:05:00Z,2020-03-19T00:21:00Z,2020-03-19T08:03:47Z
AZQ057,4KAZ40,NA,IL76,AZQ,UBBB,OAKB,2020-03-19T00:05:00Z,2020-03-19T00:02:00Z,2020-03-19T02:48:10Z
UAL48,N2747U,A2B8B8,B77W,UAL,KEWR,VABB,2020-03-19T00:05:00Z,2020-03-19T01:07:00Z,2020-03-19T14:35:29Z
UZB133,UK67002,507C39,B763,UZB,UTTT,LTFM,2020-03-19T00:05:00Z,2020-03-18T23:58:00Z,2020-03-19T04:38:00Z
AAL50,N720AN,A9A399,B77W,AAL,KDFW,EGLL,2020-03-19T00:05:00Z,2020-03-19T00:19:00Z,2020-03-19T08:25:12Z
MSA61P,GJOTE,NA,B463,MSA,LIPO,LICJ,2020-03-19T00:10:00Z,2020-03-19T00:04:00Z,2020-03-19T01:40:52Z
BRU9205,EW438PA,51008E,B738,BRU,UMMS,HESH,2020-03-19T00:10:00Z,2020-03-18T23:56:00Z,2020-03-19T03:49:52Z
TAY4803,FGZTT,396673,B734,TAY,ESGJ,EFHK,2020-03-19T00:10:00Z,2020-03-19T00:00:00Z,2020-03-19T01:07:14Z
TAY4128,OOTFC,NA,B752,TAY,LFPG,LFML,2020-03-19T00:10:00Z,2020-03-19T00:29:00Z,2020-03-19T01:45:15Z
TAY4805,OEIBI,440107,B734,TAY,EBLG,EDDN,2020-03-19T00:10:00Z,2020-03-19T00:03:00Z,2020-03-19T01:05:15Z
BEL283,OOSFC,44CCC3,A333,BEL,DXXX,EBBR,2020-03-19T00:10:00Z,2020-03-19T00:07:00Z,2020-03-19T06:23:42Z
KTK8881,VQBQA,NA,B752,KTK,UUWW,LTAI,2020-03-19T00:10:00Z,2020-03-19T00:12:00Z,2020-03-19T03:33:00Z
EXS082V,GLSAN,406735,B752,EXS,EGAA,EGCC,2020-03-19T00:10:00Z,2020-03-19T00:14:00Z,2020-03-19T00:59:52Z
