FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
BZE07E,GZNTH,407171,LJ75,BZE,EGCC,LPPR,2020-03-20T16:02:00Z,2020-03-20T16:23:00Z,2020-03-20T18:38:41Z
EZY13HF,GEZFV,40631A,A319,EZY,EGGW,LPFR,2020-03-20T16:04:00Z,2020-03-20T16:20:00Z,2020-03-20T18:51:00Z
AFL2695,VPBFQ,424350,A321,AFL,EHAM,UUEE,2020-03-20T16:05:00Z,2020-03-20T16:06:00Z,2020-03-20T19:04:00Z
AFL2315,RA89062,155BE6,SU95,AFL,EDDB,UUEE,2020-03-20T16:05:00Z,2020-03-20T16:00:00Z,2020-03-20T18:14:00Z
DTR49K,OYJRY,45AA59,AT43,DTR,EKRN,EKCH,2020-03-20T16:05:00Z,2020-03-20T16:02:00Z,2020-03-20T16:34:16Z
SAT4,CSTRG,NA,DH8D,SAT,LPSJ,LPGR,2020-03-20T16:05:00Z,2020-03-20T15:35:00Z,2020-03-20T15:55:32Z
LOG51VC,GLGNJ,NA,SF34,LOG,EGPL,EGPO,2020-03-20T16:05:00Z,2020-03-20T16:05:00Z,2020-03-20T16:30:01Z
OEFSJ,NA,4407FF,DA42,ZZZ,EDVE,EDDS,2020-03-20T16:05:00Z,2020-03-20T16:00:19Z,2020-03-20T17:56:56Z
JON33,SEKVL,4AAECC,BE20,ZZZ,ESND,ESSA,2020-03-20T16:05:00Z,2020-03-20T15:57:00Z,2020-03-20T16:49:36Z
IBB3VD,ECNGG,346345,AT76,IBB,GCLA,GCLP,2020-03-20T16:05:00Z,2020-03-20T15:58:00Z,2020-03-20T16:42:34Z
EWG4GA,DABGR,3C48F2,A319,EWG,EDDH,EDDS,2020-03-20T16:05:00Z,2020-03-20T15:58:00Z,2020-03-20T17:04:05Z
EWG6116,DAEWP,3C56F0,A320,EWG,LEPA,EDDL,2020-03-20T16:05:00Z,2020-03-20T15:49:00Z,2020-03-20T17:50:00Z
NAX5PR,SERPH,A4CA08,B738,NAX,ENVA,ENGM,2020-03-20T16:05:00Z,2020-03-20T16:15:00Z,2020-03-20T17:04:07Z
NAX540,LNNGY,47A0B2,B738,NAX,ENGM,ENZV,2020-03-20T16:05:00Z,2020-03-20T16:04:14Z,2020-03-20T16:51:01Z
SWR266U,HBJCQ,4B1808,BCS3,SWR,LSZH,LEVC,2020-03-20T16:05:00Z,2020-03-20T16:04:00Z,2020-03-20T17:52:16Z
BAW200M,GNEOW,4077E0,A21N,BAW,EGLL,LEMG,2020-03-20T16:05:00Z,2020-03-20T16:05:00Z,2020-03-20T18:47:30Z
WIF53X,LNWIH,NA,DH8A,WIF,ENGM,ENSG,2020-03-20T16:05:00Z,2020-03-20T16:05:00Z,2020-03-20T16:57:31Z
WIF91L,LNWDL,NA,DH8D,WIF,ENBR,ENCN,2020-03-20T16:05:00Z,2020-03-20T16:01:00Z,2020-03-20T16:45:41Z
WIF84W,LNWSB,NA,DH8B,WIF,ENVA,ENNM,2020-03-20T16:05:00Z,2020-03-20T16:12:00Z,2020-03-20T16:47:24Z
WZZ2475,HALPU,471EA6,A320,WZZ,LHBP,LEBL,2020-03-20T16:05:00Z,2020-03-20T16:00:00Z,2020-03-20T18:34:08Z
TAP1364,CSTJL,49514C,A21N,TAP,LPPT,EGLL,2020-03-20T16:05:00Z,2020-03-20T16:16:00Z,2020-03-20T18:41:00Z
EZY76EH,GUZHG,4074B7,A20N,EZY,LSGG,EGGW,2020-03-20T16:05:00Z,2020-03-20T15:47:00Z,2020-03-20T17:14:32Z
EJU5728,OEIZE,4402F2,A320,EJU,LOWG,EDDT,2020-03-20T16:05:00Z,2020-03-20T15:48:00Z,2020-03-20T17:06:06Z
EJU295P,OEICI,44046D,A320,EJU,LFQQ,LFBD,2020-03-20T16:05:00Z,2020-03-20T15:59:00Z,2020-03-20T17:16:30Z
EJU47EP,OELKH,440089,A319,EJU,EDDB,LFMN,2020-03-20T16:05:00Z,2020-03-20T16:08:00Z,2020-03-20T18:02:09Z
JAF3JY,OOJAA,44A821,B738,JAF,GVAC,EBBR,2020-03-20T16:05:00Z,2020-03-20T16:11:00Z,2020-03-20T21:45:43Z
TAY4267,OEIMC,440193,B738,TAY,LCLK,LGAV,2020-03-20T16:05:00Z,2020-03-20T15:52:00Z,2020-03-20T17:25:25Z
RYR14FQ,EIDLF,4CA2C3,B738,RYR,EIKY,EGSS,2020-03-20T16:05:00Z,2020-03-20T15:59:00Z,2020-03-20T17:12:15Z
FIN9LK,OHLVH,461F35,A319,FIN,ESGG,EFHK,2020-03-20T16:05:00Z,2020-03-20T15:55:00Z,2020-03-20T17:08:58Z
DLH47P,DAINP,3C65D0,A20N,DLH,LPPT,EDDF,2020-03-20T16:05:00Z,2020-03-20T16:09:00Z,2020-03-20T18:56:08Z
RYR92LB,EIENA,4CA88C,B738,RYR,EICK,LEMG,2020-03-20T16:05:00Z,2020-03-20T16:06:00Z,2020-03-20T18:39:16Z
RYR1YD,EIDAP,4CA1D2,B738,RYR,EBBR,LEBL,2020-03-20T16:05:00Z,2020-03-20T16:23:00Z,2020-03-20T18:23:05Z
