FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
AZD094,HBAMB,4B0139,AT43,AZD,ESSA,ESNU,2020-01-29T00:00:00Z,2020-01-28T23:36:28Z,2020-01-29T00:56:15Z
FBG200,LZFAC,452079,AT43,ZZZ,LRCV,LBSF,2020-01-29T00:00:00Z,2020-01-28T23:48:00Z,2020-01-29T00:33:38Z
JCO7X,GSMHA,4077BE,FA7X,JCO,KOPF,EGGW,2020-01-29T00:00:00Z,2020-01-28T23:42:00Z,2020-01-29T07:10:10Z
IGO011,VTIUD,800D58,A21N,IGO,VIDP,LTFM,2020-01-29T00:00:00Z,2020-01-29T00:07:04Z,2020-01-29T06:46:00Z
UAL999,N17002,A11BA0,B78X,UAL,KEWR,EBBR,2020-01-29T00:00:00Z,2020-01-29T00:10:00Z,2020-01-29T06:46:06Z
ETH3712,ETARI,04008B,B77L,ETH,HAAB,EBLG,2020-01-29T00:00:00Z,2020-01-28T23:50:32Z,2020-01-29T07:20:36Z
DAL1,N833MH,AB649A,B764,DAL,KJFK,EGLL,2020-01-29T00:00:00Z,2020-01-28T23:46:00Z,2020-01-29T06:34:38Z
DAL220,N1605,A0F4B5,B763,DAL,KSLC,LFPG,2020-01-29T00:00:00Z,2020-01-29T00:16:15Z,2020-01-29T09:45:52Z
AAL740,N291AY,A2F948,A332,AAL,KPHL,LEMD,2020-01-29T00:00:00Z,2020-01-28T23:41:00Z,2020-01-29T06:38:43Z
MSA56B,EIGHC,NA,B734,MSA,LIPO,LIBD,2020-01-29T00:01:00Z,2020-01-29T00:17:00Z,2020-01-29T01:20:15Z
N1911W,N1911W,A16E72,GLF5,ZZZ,KBEH,LIMC,2020-01-29T00:01:00Z,2020-01-28T23:41:00Z,2020-01-29T07:30:09Z
EJM7,N667LC,A8CF37,GLF4,EJM,KBED,EGGW,2020-01-29T00:01:00Z,2020-01-28T23:53:00Z,2020-01-29T05:54:20Z
HBJKV,HBJKV,4B18DD,FA8X,ZZZ,WMSA,LSGG,2020-01-29T00:01:00Z,2020-01-28T23:53:18Z,2020-01-29T14:16:16Z
UAL52,N673UA,A8E8A0,B763,UAL,KIAD,LSZH,2020-01-29T00:02:00Z,2020-01-28T23:57:00Z,2020-01-29T07:25:58Z
UTN5731,URUTQ,5082CB,B738,UTN,UKHH,HESH,2020-01-29T00:05:00Z,2020-01-29T00:16:00Z,2020-01-29T04:28:03Z
MEA209,ODMEA,748017,A332,MEA,OLBA,LFPG,2020-01-29T00:05:00Z,2020-01-29T00:17:56Z,2020-01-29T05:21:30Z
AUI374,URPSJ,508302,B739,AUI,OMDB,LCLK,2020-01-29T00:05:00Z,2020-01-29T00:38:00Z,2020-01-29T04:58:02Z
MSA92C,EIGHB,NA,B734,MSA,LIPO,LICC,2020-01-29T00:05:00Z,2020-01-29T00:04:00Z,2020-01-29T01:32:13Z
KTK8887,VPBIR,NA,B738,KTK,UUWW,LTAI,2020-01-29T00:05:00Z,2020-01-29T00:20:04Z,2020-01-29T03:55:00Z
B8260,B8260,7808D8,GLF5,ZZZ,ZBAA,LIRF,2020-01-29T00:05:00Z,2020-01-28T23:58:00Z,2020-01-29T10:50:45Z
FIN6,OHLTU,461F0E,A333,FIN,KJFK,EFHK,2020-01-29T00:05:00Z,2020-01-28T23:39:00Z,2020-01-29T07:52:06Z
THY883,TCJYO,NA,B739,THY,OITT,LTFM,2020-01-29T00:05:00Z,2020-01-28T23:59:39Z,2020-01-29T02:17:00Z
SRN083,SPKPV,48A5F8,SF34,SRN,LZKZ,EBLG,2020-01-29T00:05:00Z,2020-01-29T00:07:00Z,2020-01-29T03:38:48Z
BCS37B,DALES,3C70B3,B752,BCS,EBBR,EDDP,2020-01-29T00:05:00Z,2020-01-29T00:11:00Z,2020-01-29T01:24:08Z
EWG1189,OOSFJ,44CCCA,A333,EWG,MUHA,EDDL,2020-01-29T00:05:00Z,2020-01-29T00:30:23Z,2020-01-29T09:24:44Z
MSA31F,LZLDU,NA,MD82,MSA,LIPO,LIRF,2020-01-29T00:05:00Z,2020-01-29T00:07:00Z,2020-01-29T00:52:07Z
HBJAZ,HBJAZ,4B17DD,GLF5,ZZZ,KSBA,LSGG,2020-01-29T00:05:00Z,2020-01-29T00:03:45Z,2020-01-29T10:58:36Z
SWT5GL,ECJKH,3422D7,E120,SWT,EGSS,EGPF,2020-01-29T00:05:00Z,2020-01-28T23:59:00Z,2020-01-29T01:37:28Z
BCS192,LZCGT,451DAD,B734,BCS,EDDP,EDDK,2020-01-29T00:05:00Z,2020-01-29T00:03:00Z,2020-01-29T01:03:13Z
PGT407,TCCRF,NA,B738,PGT,OMAA,LTFJ,2020-01-29T00:05:00Z,2020-01-29T00:19:00Z,2020-01-29T05:02:00Z
UAE230,A6EPY,89644E,B77W,UAE,KSEA,OMDB,2020-01-29T00:05:00Z,2020-01-29T00:14:54Z,2020-01-29T14:34:12Z
CLX6829,LXTCV,4D0109,B744,CLX,GABS,ELLX,2020-01-29T00:05:00Z,2020-01-29T00:21:59Z,2020-01-29T05:55:24Z
TFL302,PHTFL,48506C,B788,TFL,SMJP,EHAM,2020-01-29T00:05:00Z,2020-01-29T01:45:21Z,2020-01-29T10:15:51Z
THY3AR,TCJVA,NA,B738,THY,UWKD,LTFM,2020-01-29T00:05:00Z,2020-01-28T23:57:00Z,2020-01-29T03:37:00Z
SQP7117,URSQH,508420,B738,SQP,UKBB,HESH,2020-01-29T00:05:00Z,2020-01-29T00:20:28Z,2020-01-29T04:04:07Z
GFM1T,SERLT,NA,C560,ZZZ,EFMA,EFTU,2020-01-29T00:05:00Z,2020-01-29T00:00:00Z,2020-01-29T00:29:10Z
QTR714,A7ANL,06A128,A35K,QTR,KIAH,OTHH,2020-01-29T00:05:00Z,2020-01-29T00:11:49Z,2020-01-29T13:42:09Z
QTR708,A7BES,06A2B7,B77W,QTR,KIAD,OTHH,2020-01-29T00:05:00Z,2020-01-28T23:49:00Z,2020-01-29T11:55:47Z
UZB133,UK67001,507C38,B763,UZB,UTTT,LTFM,2020-01-29T00:05:00Z,2020-01-29T00:09:00Z,2020-01-29T05:08:00Z
FIA132,ER00005,504E57,A320,FIA,UUWW,LUKK,2020-01-29T00:10:00Z,2020-01-29T00:16:00Z,2020-01-29T02:09:00Z
EUP421,FHBPE,NA,E145,ZZZ,LFMN,LFMH,2020-01-29T00:10:00Z,2020-01-29T00:09:00Z,2020-01-29T00:56:06Z
IAE320,RA89075,NA,SU95,IAE,UBBB,UWWW,2020-01-29T00:10:00Z,2020-01-29T00:42:00Z,2020-01-29T03:05:00Z
TAY4805,OEIBO,440118,B734,TAY,EBLG,EDDN,2020-01-29T00:10:00Z,2020-01-29T00:02:00Z,2020-01-29T01:00:08Z
TAY4128,OOTFC,NA,B752,TAY,LFPG,LFML,2020-01-29T00:10:00Z,2020-01-29T00:25:00Z,2020-01-29T01:37:36Z
BRU8265,EW526PA,510114,B738,BRU,UMMS,HESH,2020-01-29T00:10:00Z,2020-01-29T00:10:00Z,2020-01-29T04:09:22Z
BCS71C,DALEV,3C70B6,B752,BCS,EDDP,EBBR,2020-01-29T00:10:00Z,2020-01-29T00:00:00Z,2020-01-29T01:09:10Z
PGT94Q,TCNBS,4BB853,A20N,PGT,EDDK,LTFJ,2020-01-29T00:10:00Z,2020-01-29T00:04:00Z,2020-01-29T03:11:00Z
KLM724,PHAOM,484CC6,A332,KLM,MUHA,EHAM,2020-01-29T00:10:00Z,2020-01-29T00:06:04Z,2020-01-29T08:56:14Z
CXI9205,TCTJS,4BD153,B738,CXI,GBYD,EDDL,2020-01-29T00:10:00Z,2020-01-29T00:15:11Z,2020-01-29T06:33:45Z
TAY4803,EISTK,4CA7FA,B734,TAY,ESGJ,EFHK,2020-01-29T00:10:00Z,2020-01-29T00:09:00Z,2020-01-29T01:19:23Z
THY8DL,TCJIO,NA,A332,THY,DNAA,LTFM,2020-01-29T00:10:00Z,2020-01-28T23:59:04Z,2020-01-29T05:46:00Z
BCS93C,GBMRJ,40066C,B752,BCS,EDDP,EGNX,2020-01-29T00:10:00Z,2020-01-29T00:08:00Z,2020-01-29T01:56:29Z
