FLTID,REG,ICAO24,TYPE,OPR,ADEP,ADES,LOBT,AOBT_3,ARVT_3
UAL909,N643UA,A87223,B763,UAL,KORD,EHAM,2020-01-02T00:00:00Z,2020-01-01T23:45:00Z,2020-01-02T07:53:15Z
UAL999,N91007,AC9923,B78X,UAL,KEWR,EBBR,2020-01-02T00:00:00Z,2020-01-01T23:55:00Z,2020-01-02T06:40:48Z
UAL901,N796UA,AAD012,B772,UAL,KSFO,EGLL,2020-01-02T00:00:00Z,2020-01-02T00:17:00Z,2020-01-02T10:39:07Z
ABB5961,OOABB,448442,A343,ZZZ,TFFR,EBCI,2020-01-02T00:00:00Z,2020-01-02T00:11:16Z,2020-01-02T08:23:32Z
IBE6653,ECIOB,34164B,A346,IBE,LEMD,SPJC,2020-01-02T00:00:00Z,2020-01-01T23:58:00Z,2020-01-02T11:46:19Z
DAL1,N833MH,AB649A,B764,DAL,KJFK,EGLL,2020-01-02T00:00:00Z,2020-01-01T23:44:00Z,2020-01-02T06:56:02Z
AAL740,N279AY,A2C802,A332,AAL,KPHL,LEMD,2020-01-02T00:00:00Z,2020-01-01T23:49:00Z,2020-01-02T06:51:18Z
MSA56B,EIGHC,NA,B734,MSA,LIPO,LIBD,2020-01-02T00:01:00Z,2020-01-02T00:16:00Z,2020-01-02T01:26:43Z
KLM672,PHAOD,484443,A332,KLM,CYUL,EHAM,2020-01-02T00:01:00Z,2020-01-01T23:53:00Z,2020-01-02T06:22:57Z
EAU49S,9HSIS,4D21A9,CL60,ZZZ,LIML,LWSK,2020-01-02T00:01:00Z,2020-01-01T23:53:00Z,2020-01-02T01:30:42Z
AVA016,N782AV,AA9808,B788,AVA,SKRG,LEMD,2020-01-02T00:03:00Z,2020-01-02T00:04:03Z,2020-01-02T09:16:05Z
UTN5733,URAZF,508421,B738,UTN,UKHH,HESH,2020-01-02T00:05:00Z,2020-01-02T00:05:00Z,2020-01-02T04:03:00Z
MEA209,ODMEE,748051,A332,MEA,OLBA,LFPG,2020-01-02T00:05:00Z,2020-01-02T00:03:31Z,2020-01-02T04:34:43Z
NPT01D,GJMCS,406B1B,B734,NPT,EGNX,EGAA,2020-01-02T00:05:00Z,2020-01-01T23:40:00Z,2020-01-02T00:30:07Z
AUI374,URPSM,508366,B738,AUI,OMDB,UKBB,2020-01-02T00:05:00Z,2020-01-02T00:13:00Z,2020-01-02T06:09:00Z
MSA92C,EIGHB,NA,B734,MSA,LIPO,LICC,2020-01-02T00:05:00Z,2020-01-02T00:02:00Z,2020-01-02T01:38:44Z
BRU8261,EW438PA,51008E,B738,BRU,UMMS,HEGN,2020-01-02T00:05:00Z,2020-01-02T00:06:00Z,2020-01-02T04:09:50Z
MSA95S,SPSPC,NA,AT72,MSA,LIPO,LICA,2020-01-02T00:05:00Z,2020-01-02T00:13:00Z,2020-01-02T02:09:44Z
FIN6,OHLTT,461F0D,A333,FIN,KJFK,EFHK,2020-01-02T00:05:00Z,2020-01-01T23:42:00Z,2020-01-02T07:37:15Z
WRC7663,URWRI,50822F,A321,WRC,UKBB,HEGN,2020-01-02T00:05:00Z,2020-01-02T00:01:00Z,2020-01-02T03:36:53Z
AMX022,N183AM,A14BDD,B789,AMX,LEMD,MMMX,2020-01-02T00:05:00Z,2020-01-02T00:10:00Z,2020-01-02T12:02:24Z
AFR733,FGSPN,3949ED,B772,AFR,MDSD,LFPG,2020-01-02T00:05:00Z,2020-01-02T00:26:53Z,2020-01-02T08:37:23Z
THY3AR,TCJZE,NA,B738,THY,UWKD,LTFM,2020-01-02T00:05:00Z,2020-01-01T23:56:00Z,2020-01-02T03:32:00Z
UAL952,N206UA,A1AA10,B772,UAL,KORD,EDDM,2020-01-02T00:05:00Z,2020-01-02T01:13:00Z,2020-01-02T09:40:35Z
AMQ486,9HGAW,4D21D0,B738,AMQ,EPKT,GCTS,2020-01-02T00:05:00Z,2020-01-02T00:22:00Z,2020-01-02T05:37:22Z
ACA828,CGHKX,C05840,A333,ACA,CYUL,LFLL,2020-01-02T00:05:00Z,2020-01-02T00:19:00Z,2020-01-02T07:23:41Z
VIR110,GVGAL,4008F7,B744,VIR,KATL,EGCC,2020-01-02T00:05:00Z,2020-01-02T00:30:00Z,2020-01-02T07:44:11Z
UAE41P,A6EOF,89639F,A388,UAE,KSFO,OMDB,2020-01-02T00:05:00Z,2020-01-02T00:49:00Z,2020-01-02T15:34:48Z
AIC177,VTANM,800733,B788,AIC,VOBL,EGLL,2020-01-02T00:05:00Z,2020-01-02T00:23:00Z,2020-01-02T11:21:43Z
EZY34DE,GUZHW,40768B,A20N,EZY,LIRN,EGCC,2020-01-02T00:05:00Z,2020-01-02T00:20:00Z,2020-01-02T03:03:35Z
QTR708,A7BAO,06A064,B77W,QTR,KIAD,OTHH,2020-01-02T00:05:00Z,2020-01-01T23:54:00Z,2020-01-02T12:30:28Z
QTR714,A7ANJ,06A126,A35K,QTR,KIAH,OTHH,2020-01-02T00:05:00Z,2020-01-02T01:13:00Z,2020-01-02T15:23:12Z
AZU8756,PRAIX,E490D5,A332,AZU,SBKP,LPPR,2020-01-02T00:05:00Z,2020-01-02T00:36:00Z,2020-01-02T10:06:24Z
SVA171,HZASC,71007C,A320,SVA,OERK,EDDM,2020-01-02T00:05:00Z,2020-01-02T00:33:56Z,2020-01-02T06:29:11Z
PGT531,TCCRE,NA,B738,PGT,OMRK,LTFJ,2020-01-02T00:05:00Z,2020-01-02T00:14:00Z,2020-01-02T05:13:00Z
DIMME,DIMME,3E3834,C551,ZZZ,EDDL,EDDM,2020-01-02T00:05:00Z,2020-01-02T00:26:00Z,2020-01-02T01:33:17Z
DAL404,N189DN,A16273,B763,DAL,KBOS,LFPG,2020-01-02T00:08:00Z,2020-01-02T00:09:00Z,2020-01-02T06:44:40Z
SXS6523,TCSEN,NA,B738,SXS,OBBI,LTCG,2020-01-02T00:10:00Z,2020-01-01T23:35:00Z,2020-01-02T03:16:00Z
IBE6124,ECLXK,344345,A333,IBE,KMIA,LEMD,2020-01-02T00:10:00Z,2020-01-01T23:57:00Z,2020-01-02T07:49:01Z
RYR4375,EIDWJ,4CA56F,B738,RYR,LFML,EIDW,2020-01-02T00:10:00Z,2020-01-01T23:57:00Z,2020-01-02T02:14:05Z
PGT94Q,TCAIS,4B8533,B738,PGT,EDDK,LTFJ,2020-01-02T00:10:00Z,2020-01-01T23:52:00Z,2020-01-02T03:03:00Z
BCS93C,GDHKK,40726C,B752,BCS,EDDP,EGNX,2020-01-02T00:10:00Z,2020-01-02T00:02:00Z,2020-01-02T01:55:33Z
QTR756,A7BBH,06A07E,B77L,QTR,KATL,OTHH,2020-01-02T00:10:00Z,2020-01-01T23:56:00Z,2020-01-02T13:21:27Z
BAW71F,GCIVS,4006A9,B744,BAW,KSFO,EGLL,2020-01-02T00:10:00Z,2020-01-02T00:14:00Z,2020-01-02T10:07:39Z
BAW2152,GVIIX,400775,B772,BAW,TBPB,EGKK,2020-01-02T00:10:00Z,2020-01-02T00:28:18Z,2020-01-02T08:25:25Z
BAW8VA,GVIIV,400773,B772,BAW,TLPL,EGKK,2020-01-02T00:10:00Z,2020-01-02T00:10:06Z,2020-01-02T08:09:18Z
ENZ784,GJOTS,40732E,RJ1H,ENZ,EGGW,EGCC,2020-01-02T00:15:00Z,2020-01-02T00:07:00Z,2020-01-02T01:01:47Z
WIF78C,LNWIM,NA,DH8A,WIF,ENVD,ENKR,2020-01-02T00:15:00Z,2020-01-02T00:17:00Z,2020-01-02T00:39:03Z
MSA31F,OYYBU,NA,AT72,MSA,LIPO,LIRF,2020-01-02T00:15:00Z,2020-01-02T00:26:00Z,2020-01-02T01:33:09Z
TAP1510,CSTVG,4952C7,A20N,TAP,DIAP,LPPT,2020-01-02T00:15:00Z,2020-01-02T00:42:21Z,2020-01-02T06:00:28Z
